
> nknu-course-rating@0.1.0 crawl
> tsx --env-file=.env.local scripts/scraper/crawl.ts --from 110 --to 114

[crawl] years=114,113,112,111,110 sems=1,2 deforms=1,2,3,G,S,H dn=D,N
[crawl] 114-1 1/D 國文學系 -> 6
[crawl] 114-1 1/D 英語學系 -> 102
[crawl] 114-1 1/D 地理學系 -> 53
[crawl] 114-1 1/D 語言與文化學士原住民專班 -> 36
[crawl] 114-1 1/D 數學系數學組 -> 41
[crawl] 114-1 1/D 數學系應用數學組 -> 34
[crawl] 114-1 1/D 化學系 -> 38
[crawl] 114-1 1/D 物理學系 -> 40
[crawl] 114-1 1/D 生物科技系 -> 38
[crawl] 114-1 1/D 教育學系 -> 39
[crawl] 114-1 1/D 特殊教育學系 -> 69
[crawl] 114-1 1/D 體育學系 -> 60
[crawl] 114-1 1/D 運動競技與產業學士原住民專班 -> 45
[crawl] 114-1 1/D 事業經營學系 -> 38
[crawl] 114-1 1/D 科技學院課程--大學 -> 2
[crawl] 114-1 1/D 工業科技教育學系科技教育與訓練組 -> 36
[crawl] 114-1 1/D 工業科技教育學系能源與冷凍空調組 -> 28
[crawl] 114-1 1/D 工業設計學系 -> 40
[crawl] 114-1 1/D 電子工程學系 -> 34
[crawl] 114-1 1/D 軟體工程與管理學系 -> 33
[crawl] 114-1 1/D 電機工程學系 -> 34
[crawl] 114-1 1/D 美術學系 -> 66
[crawl] 114-1 1/D 音樂學系 -> 212
[crawl] 114-1 1/D 視覺設計學系 -> 48
[crawl] 114-1 1/D 藝術產業學士原住民專班 -> 43
[crawl] 114-1 2/D 國文學系碩士班 -> 13
[crawl] 114-1 2/D 英語學系碩士班 -> 11
[crawl] 114-1 2/D 地理學系碩士班 -> 8
[crawl] 114-1 2/D 臺灣歷史文化及語言研究所碩士班 -> 12
[crawl] 114-1 2/D 經學研究所碩士班 -> 16
