
> nknu-new-rating@0.1.0 crawl
> tsx --env-file=.env.local scripts/scraper/crawl.ts --from 110 --to 114 --delay 700

[crawl] years=114,113,112,111,110 sems=1,2,3 deforms=1,2,3,G,S,H dn=D,N
[crawl] 114-1 1/D 國文學系 -> 134
[crawl] 114-1 1/D 英語學系 -> 151
[crawl] 114-1 1/D 地理學系 -> 53
[crawl] 114-1 1/D 語言與文化學士原住民專班 -> 36
[crawl] 114-1 1/D 數學系數學組 -> 41
[crawl] 114-1 1/D 數學系應用數學組 -> 38
[crawl] 114-1 1/D 化學系 -> 38
[crawl] 114-1 1/D 物理學系 -> 42
[crawl] 114-1 1/D 生物科技系 -> 38
[crawl] 114-1 1/D 教育學系 -> 39
[crawl] 114-1 1/D 特殊教育學系 -> 69
[crawl] 114-1 1/D 體育學系 -> 60
[crawl] 114-1 1/D 運動競技與產業學士原住民專班 -> 45
[crawl] 114-1 1/D 事業經營學系 -> 38
[crawl] 114-1 1/D 科技學院課程--大學 -> 2
[crawl] 114-1 1/D 工業科技教育學系科技教育與訓練組 -> 36
[crawl] 114-1 1/D 工業科技教育學系能源與冷凍空調組 -> 28
[crawl] 114-1 1/D 工業設計學系 -> 40
[crawl] 114-1 1/D 電子工程學系 -> 34
[crawl] 114-1 1/D 軟體工程與管理學系 -> 33
[crawl] 114-1 1/D 電機工程學系 -> 34
[crawl] 114-1 1/D 美術學系 -> 67
[crawl] 114-1 1/D 音樂學系 -> 212
[crawl] 114-1 1/D 視覺設計學系 -> 48
[crawl] 114-1 1/D 藝術產業學士原住民專班 -> 43
[crawl] 114-1 2/D 國文學系碩士班 -> 13
[crawl] 114-1 2/D 英語學系碩士班 -> 11
[crawl] 114-1 2/D 地理學系碩士班 -> 8
[crawl] 114-1 2/D 臺灣歷史文化及語言研究所碩士班 -> 12
[crawl] 114-1 2/D 經學研究所碩士班 -> 16
[crawl] 114-1 2/D 華語文教學研究所碩士班 -> 13
[crawl] 114-1 2/D 客家文化研究所 -> 6
[crawl] 114-1 2/D 數學系碩士班 -> 16
[crawl] 114-1 2/D 化學系碩士班 -> 9
[crawl] 114-1 2/D 物理學系碩士班 -> 13
[crawl] 114-1 2/D 生物科技系碩士班 -> 7
[crawl] 114-1 2/D 科學教育暨環境教育研究所碩士班 -> 17
[crawl] 114-1 2/D 教育學系碩士班 -> 17
[crawl] 114-1 2/D 特殊教育學系特殊教育碩士班 -> 10
[crawl] 114-1 2/D 特殊教育學系聽力學與語言治療碩士班語言治療組 -> 13
[crawl] 114-1 2/D 特殊教育學系聽力學與語言治療碩士班聽力學組 -> 9
[crawl] 114-1 2/D 成人教育研究所碩士班 -> 9
[crawl] 114-1 2/D 體育學系碩士班 -> 8
[crawl] 114-1 2/D 性別教育研究所碩士班 -> 13
[crawl] 114-1 2/D 諮商心理與復健諮商研究所碩士班諮商心理組 -> 18
[crawl] 114-1 2/D 諮商心理與復健諮商研究所碩士班復健諮商組 -> 8
[crawl] 114-1 2/D 人力與知識管理研究所 -> 10
[crawl] 114-1 2/D 事業經營學系碩士班 -> 9
[crawl] 114-1 2/D 工業科技教育學系碩士班 -> 7
[crawl] 114-1 2/D 工業設計學系碩士班 -> 7
[crawl] 114-1 2/D 電子工程學系碩士班 -> 11
[crawl] 114-1 2/D 軟體工程與管理學系碩士班工程組 -> 7
[crawl] 114-1 2/D 軟體工程與管理學系碩士班管理組 -> 7
[crawl] 114-1 2/D 工程國際碩士學位學程 -> 9
[crawl] 114-1 2/D 電機工程學系碩士班 -> 10
[crawl] 114-1 2/D 美術學系碩士班 -> 12
[crawl] 114-1 2/D 音樂學系碩士班 -> 57
[crawl] 114-1 2/D 視覺設計學系碩士班 -> 8
[crawl] 114-1 2/D 跨領域藝術研究所 -> 8
[crawl] 114-1 2/N 國文學系書法碩士班 -> 7
[crawl] 114-1 2/N 國文學系中國文學碩士班 -> 7
[crawl] 114-1 2/N 英語學系應用英語碩士班 -> 4
[crawl] 114-1 2/N 地理學系城鄉發展與環境研究碩士班 -> 5
[crawl] 114-1 2/N 臺灣歷史文化及語言研究所臺灣研究碩士班 -> 5
[crawl] 114-1 2/N 東南亞學碩士在職學位學程 -> 9
[crawl] 114-1 2/N 科學教育暨環境教育研究所環境與創意產業碩士學位學程 -> 10
[crawl] 114-1 2/N 教育學系生命教育碩士班 -> 8
[crawl] 114-1 2/N 教育學系課程與教學碩士班 -> 9
[crawl] 114-1 2/N 教育學系學校行政領導碩士班 -> 4
[crawl] 114-1 2/N 成人教育研究所組織發展與領導碩士班 -> 9
[crawl] 114-1 2/N 體育學系體育碩士班 -> 6
[crawl] 114-1 2/N 體育學系體育碩士班 -> 3
[crawl] 114-1 2/N 馬來西亞教育管理碩士班高階教育經營與行政管理馬來西亞境外碩士在職專班 -> 3
[crawl] 114-1 2/N 人力與知識管理研究所人力與知識管理碩士班 -> 9
[crawl] 114-1 2/N 事業經營學系事業經營碩士班 -> 8
[crawl] 114-1 2/N 工業科技教育學系科技教育碩士班 -> 9
[crawl] 114-1 2/N 工業設計學系文化創意設計碩士學位學程 -> 13
[crawl] 114-1 2/N 軟體工程與管理學系資訊科技碩士班 -> 8
[crawl] 114-1 2/N 軟體工程與管理學系資訊科技碩士班 -> 8
[crawl] 114-1 2/N 半導體碩士在職學位學程半導體碩士在職學位學程 -> 3
[crawl] 114-1 2/N 美術學系美術碩士班 -> 10
[crawl] 114-1 2/N 音樂學系音樂碩士班 -> 27
[crawl] 114-1 2/N 視覺設計學系視覺設計碩士班 -> 9
[crawl] 114-1 2/N 跨領域藝術研究所跨藝實踐與永續環境碩士班 -> 11
[crawl] 114-1 2/N 表演藝術碩士學位學程 -> 8
[crawl] 114-1 2/N 藝術產業學士原住民專班創新產業原住民碩士在職學位學程 -> 6
[crawl] 114-1 3/D 國文學系博士班 -> 11
[crawl] 114-1 3/D 英語學系博士班 -> 4
[crawl] 114-1 3/D 地理學系博士班 -> 10
[crawl] 114-1 3/D 華語文教學博士學位學程 -> 6
[crawl] 114-1 3/D 物理學系博士班 -> 15
[crawl] 114-1 3/D 科學教育暨環境教育研究所科學教育博士班 -> 14
[crawl] 114-1 3/D 教育學系博士班 -> 20
[crawl] 114-1 3/D 特殊教育學系特殊教育博士班 -> 10
[crawl] 114-1 3/D 成人教育研究所博士班 -> 11
[crawl] 114-1 3/D 性別教育博士學位學程 -> 8
[crawl] 114-1 3/D 諮商心理與復健諮商研究所諮商心理博士班 -> 10
[crawl] 114-1 3/D 工業科技教育學系博士班 -> 8
[crawl] 114-1 G/D 體育（和平校區） -> 28
[crawl] 114-1 G/D 體育（燕巢校區） -> 20
[crawl] 114-1 G/D 軍訓（選修） -> 2
[crawl] 114-1 G/D 通識（和平校區） -> 36
[crawl] 114-1 G/D 通識（燕巢校區） -> 19
[crawl] 114-1 S/D 文學院課程 -> 2
[crawl] 114-1 S/D 理學院課程 -> 5
[crawl] 114-1 S/D 科技學院課程--大學 -> 2
[crawl] 114-1 H/D 中等教師教育學程 -> 48
[crawl] 114-1 H/D 小學教師教育學程 -> 45
[crawl] 114-1 H/D 特教學程資優類 -> 8
[crawl] 114-1 H/D 文化學程 -> 1
[crawl] 114-1 H/D 人工智慧學程 -> 7
[crawl] 114-1 H/D 流行音樂微學程 -> 1
[crawl] 114-1 H/D 藝術整合微學程 -> 1
[crawl] 114-1 H/D 多媒體配樂微學程 -> 1
[crawl] 114-1 H/D 高齡服務事業與人力發展微學分學程 -> 1
[crawl] 114-1 H/D 半導體製程產業人才培育學分學程 -> 1
[crawl] 114-1 H/D 華語文教學微學分學程 -> 2
[crawl] 114-1 H/D 科技產業管理微學分學程 -> 1
[crawl] 114-1 H/D 人工智慧探索應用學分學程 -> 3
[crawl] 114-1 H/D 客家語文專長 -> 3
[crawl] 114-1 H/D 新住民語文專長 -> 8
[crawl] 114-2 1/D 國文學系 -> 129
[crawl] 114-2 1/D 英語學系 -> 159
[crawl] 114-2 1/D 地理學系 -> 52
[crawl] 114-2 1/D 語言與文化學士原住民專班 -> 38
[crawl] 114-2 1/D 數學系數學組 -> 44
[crawl] 114-2 1/D 數學系應用數學組 -> 39
[crawl] 114-2 1/D 化學系 -> 39
[crawl] 114-2 1/D 物理學系 -> 38
[crawl] 114-2 1/D 生物科技系 -> 35
[crawl] 114-2 1/D 教育學系 -> 47
[crawl] 114-2 1/D 特殊教育學系 -> 55
[crawl] 114-2 1/D 體育學系 -> 55
[crawl] 114-2 1/D 運動競技與產業學士原住民專班 -> 45
[crawl] 114-2 1/D 事業經營學系 -> 35
[crawl] 114-2 1/D 工業科技教育學系科技教育與訓練組 -> 37
[crawl] 114-2 1/D 工業科技教育學系能源與冷凍空調組 -> 31
[crawl] 114-2 1/D 工業設計學系 -> 38
[crawl] 114-2 1/D 電子工程學系 -> 37
[crawl] 114-2 1/D 軟體工程與管理學系 -> 38
[crawl] 114-2 1/D 電機工程學系 -> 33
[crawl] 114-2 1/D 美術學系 -> 67
[crawl] 114-2 1/D 音樂學系 -> 216
[crawl] 114-2 1/D 視覺設計學系 -> 49
[crawl] 114-2 1/D 藝術產業學士原住民專班 -> 37
[crawl] 114-2 2/D 國文學系碩士班 -> 13
[crawl] 114-2 2/D 英語學系碩士班 -> 12
[crawl] 114-2 2/D 地理學系碩士班 -> 8
[crawl] 114-2 2/D 臺灣歷史文化及語言研究所碩士班 -> 12
[crawl] 114-2 2/D 經學研究所碩士班 -> 15
[crawl] 114-2 2/D 華語文教學研究所碩士班 -> 12
[crawl] 114-2 2/D 客家文化研究所 -> 7
[crawl] 114-2 2/D 數學系碩士班 -> 15
[crawl] 114-2 2/D 化學系碩士班 -> 8
[crawl] 114-2 2/D 物理學系碩士班 -> 12
[crawl] 114-2 2/D 生物科技系碩士班 -> 7
[crawl] 114-2 2/D 科學教育暨環境教育研究所碩士班 -> 14
[crawl] 114-2 2/D 教育學系碩士班 -> 19
[crawl] 114-2 2/D 特殊教育學系特殊教育碩士班 -> 12
[crawl] 114-2 2/D 特殊教育學系聽力學與語言治療碩士班語言治療組 -> 17
[crawl] 114-2 2/D 特殊教育學系聽力學與語言治療碩士班聽力學組 -> 13
[crawl] 114-2 2/D 成人教育研究所碩士班 -> 8
[crawl] 114-2 2/D 體育學系碩士班 -> 9
